                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.6658,                 1.6903,                 1.7466,                 0.5931,                    0.4,                0.58598,                0.21826,                 2.1961,                 1.9104,                 2.5391,              0.0018955,              0.0018955,              0.0018955
                     98,                 1.6594,                 1.7505,                 1.6623,                 0.4052,                    0.8,                0.42087,                0.16534,                 2.0703,                 1.9486,                  2.395,              0.0018944,              0.0018944,              0.0018944
                     99,                 1.6886,                 1.5806,                   1.74,                0.42769,                    0.6,                0.55294,                0.19521,                 2.0586,                 1.9097,                 2.5139,              0.0018933,              0.0018933,              0.0018933
                    100,                 1.4534,                 1.6352,                 1.6208,                0.66657,                    0.4,                0.52432,                0.21961,                 1.9947,                 2.2225,                 2.5245,              0.0018922,              0.0018922,              0.0018922
                    101,                  1.558,                 1.6832,                 1.6825,                0.87739,                    0.4,                0.52625,                0.21445,                 1.9884,                 2.3423,                 2.3202,              0.0018911,              0.0018911,              0.0018911
                    102,                 1.5567,                 1.6427,                 1.6865,                0.36893,                    0.6,                0.32699,                0.15432,                 1.8743,                 2.0635,                 2.0224,                0.00189,                0.00189,                0.00189
                    103,                 1.6296,                 1.6267,                 1.7008,                0.38181,                    0.4,                 0.4678,                0.19811,                 1.7779,                 2.0082,                  1.991,              0.0018889,              0.0018889,              0.0018889
                    104,                 1.5116,                 1.5436,                 1.5672,                0.37807,                0.60884,                0.49452,                0.17267,                 1.8505,                 2.0391,                 2.0833,              0.0018878,              0.0018878,              0.0018878
                    105,                 1.5169,                 1.6236,                 1.5765,                0.36119,                    0.4,                0.40613,                0.11558,                 2.1438,                 1.9765,                 2.4006,              0.0018867,              0.0018867,              0.0018867
                    106,                 1.6308,                 1.6988,                 1.6736,                      1,                0.38498,                0.60333,                0.16581,                 2.1504,                 2.0877,                 2.4802,              0.0018856,              0.0018856,              0.0018856
                    107,                 1.6056,                 1.6046,                 1.6783,                0.73749,                0.56997,                0.70192,                0.19896,                 2.1295,                 2.2516,                 2.5009,              0.0018845,              0.0018845,              0.0018845
                    108,                 1.5848,                 1.5054,                 1.6417,                0.80106,                    0.6,                0.76811,                0.20338,                 2.1853,                  2.326,                  2.496,              0.0018834,              0.0018834,              0.0018834
                    109,                 1.5765,                 1.4797,                  1.648,                 0.9255,                    0.6,                0.76537,                0.16077,                 2.3217,                 2.2875,                 2.6812,              0.0018823,              0.0018823,              0.0018823
                    110,                 1.6261,                 1.5638,                 1.6624,                      1,                0.57083,                0.76059,                 0.2322,                 2.1919,                 2.2379,                 2.6311,              0.0018812,              0.0018812,              0.0018812
                    111,                 1.5844,                 1.6242,                 1.6929,                0.54173,                    0.8,                0.69262,                0.22273,                 2.1096,                 2.0225,                 2.5608,              0.0018801,              0.0018801,              0.0018801
                    112,                 1.5506,                 1.6049,                 1.6674,                0.74056,                0.57734,                0.71081,                0.22474,                 2.1011,                 1.9907,                  2.626,               0.001879,               0.001879,               0.001879
                    113,                 1.5021,                  1.497,                 1.6227,                0.74104,                 0.5785,                0.71722,                0.19766,                 2.1206,                 1.8585,                 2.6529,              0.0018779,              0.0018779,              0.0018779
